Time (s),Channel 1 (V),Channel 2 (V)
0.0010675,-0.3286232120889959,2.120005761493123
0.00107,-0.3251290593289172,2.122245272775173
0.0010725,-0.3229222260067622,2.121872020894831
0.001075,-0.318508559362452,2.126537669399103
0.0010775,-0.3170373371476821,2.12803067692047
0.00108,-0.316301726040297,2.129150432561495
0.0010825,-0.3131753788339108,2.129150432561495
0.001085,-0.3106007399580633,2.132882951364913
0.0010875,-0.3069226844211382,2.133629455125596
0.00109,-0.3069226844211381,2.133256203245254
0.0010925,-0.3032446288842131,2.136988722048672
0.001095,-0.3017734066694431,2.138108477689697
0.0010975,-0.2990148650167493,2.140721240852089
0.0011,-0.2957046150335167,2.142960752134139
0.0011025,-0.2933138789345154,2.146133393117045
0.001105,-0.2901875317281292,2.148559530339265
0.0011075,-0.2889002122902053,2.155091438245246
0.00111,-0.2866933789680502,2.158264079228151
0.0011125,-0.2844865456458953,2.158637331108493
0.001115,-0.2809923928858166,2.158264079228151
0.0011175,-0.2778660456794302,2.158450705168322
0.00112,-0.2758431151341214,2.15807745328798
0.0011225,-0.2729006707045813,2.158450705168322
0.001125,-0.26903871239081,2.164609361193961
0.0011275,-0.2670157818455012,2.168528505937549
0.00113,-0.2640733374159612,2.167408750296524
0.0011325,-0.2605791846558824,2.172634276621308
0.001135,-0.2587401568874199,2.177859802946092
0.0011375,-0.2554299069041873,2.181965573629852
0.00114,-0.2534069763588785,2.184205084911902
0.0011425,-0.2504645319293385,2.184018458971731
0.001145,-0.248625504160876,2.186817848074294
0.0011475,-0.2456830597313359,2.190736992817882
0.00115,-0.2431084208554884,2.191856748458908
0.0011525,-0.2405337819796408,2.191856748458908
0.001155,-0.2375913375501008,2.198015404484546
0.0011575,-0.2353845042279458,2.200441541706768
0.00116,-0.2335454764594832,2.20100141952728
0.0011625,-0.2293157125920194,2.208653083074286
0.001165,-0.2269249764930182,2.216491372561463
0.0011675,-0.2252698515014019,2.221716898886247
0.00117,-0.2228791154024006,2.232541203416157
0.0011725,-0.219568865419168,2.239819615082821
0.001175,-0.2160747126590892,2.245418393287947
0.0011775,-0.2138678793369342,2.252696804954611
0.00118,-0.2122127543453179,2.255309568117004
0.0011825,-0.2090864071389316,2.25456306435632
0.001185,-0.2074312821473153,2.255496194057174
0.0011875,-0.2052244488251604,2.252883430894782
0.00119,-0.202833712726159,2.251950301193928
0.0011925,-0.2004429766271578,2.252510179014441
0.001195,-0.1978683377513102,2.258668835040079
0.0011975,-0.1960293099828477,2.25885546098025
0.0012,-0.1934546711070001,2.259415338800763
0.0012025,-0.1910639350079989,2.265014117005889
0.001205,-0.1892249072395364,2.269306513629819
0.0012075,-0.1855468517026113,2.272479154612724
0.00121,-0.18462733781838,2.272665780552894
0.0012125,-0.1822366017193787,2.272105902732382
0.001215,-0.1787424489592999,2.274158788074261
0.0012175,-0.1774551295213762,2.277518054997337
0.00122,-0.1758000045297599,2.27807793281785
0.0012225,-0.1721219489928348,2.278451184698191
0.001225,-0.1704668240012185,2.283490085082805
0.0012275,-0.1667887684642935,2.285169718544343
0.00123,-0.1629268101505222,2.285356344484514
0.0012325,-0.1627429073736759,2.28890223734776
0.001235,-0.1612716851589058,2.29095512268964
0.0012375,-0.1579614351756733,2.291701626450323
0.00124,-0.1568580185145958,2.295620771193911
0.0012425,-0.1542833796387482,2.298980038116987
0.001245,-0.1487662963333606,2.30383231256143
0.0012475,-0.1472950741185906,2.310550846407581
0.00125,-0.1445365324658968,2.312790357689631
0.0012525,-0.1426975046974343,2.311670602048606
0.001255,-0.141042379705818,2.311670602048606
0.0012575,-0.1379160324994317,2.312603731749461
0.00126,-0.1342379769625067,2.312043853928948
0.0012625,-0.1322150464171979,2.311297350168265
0.001265,-0.1305599214255816,2.315029868971682
0.0012675,-0.1281691853265803,2.316522876493049
0.00127,-0.1244911297896553,2.317456006193903
0.0012725,-0.122100393690654,2.321561776877663
0.001275,-0.1197096575916527,2.325480921621251
0.0012775,-0.1195257548148065,2.328280310723814
0.00128,-0.1167672131621127,2.329026814484497
0.0012825,-0.1132730604020339,2.328653562604155
0.001285,-0.1118018381872638,2.332759333287915
0.0012875,-0.1088593937577238,2.336678478031503
0.00129,-0.1055491437744913,2.338917989313553
0.0012925,-0.102422796568105,2.338544737433212
0.001295,-0.09764132437010242,2.344890019399021
0.0012975,-0.09580229660163987,2.346196400980217
0.0013,-0.09377936605633105,2.345449897219534
0.0013025,-0.09028521329625225,2.351608553245172
0.001305,-0.08954960218886727,2.355900949869103
0.0013075,-0.08807837997409723,2.359820094612691
0.00131,-0.08366471332978717,2.371017651022943
0.0013125,-0.08109007445393963,2.376056551407557
0.001315,-0.07925104668547711,2.379602444270803
0.0013175,-0.0761246994790908,2.385014596535759
0.00132,-0.07428567171062828,2.386880855937467
0.0013225,-0.0707915189505495,2.388000611578492
0.001325,-0.06858468562839444,2.387254107817809
0.0013275,-0.06545833842200814,2.386320978116955
0.00133,-0.06472272731462317,2.386134352176783
0.0013325,-0.06159638010823686,2.386320978116955
0.001335,-0.05755051901761928,2.391173252561397
0.0013375,-0.05589539402600299,2.393599389783618
0.00134,-0.05497588014177175,2.392479634142593
0.0013425,-0.05332075515015548,2.397705160467377
0.001345,-0.0496426996132304,2.400877801450283
0.0013475,-0.04725196351422913,2.403863816493016
0.00135,-0.04449342186153529,2.403863816493016
0.0013525,-0.04210268576253397,2.404423694313529
0.001355,-0.0378729218950702,2.408529464997288
0.0013575,-0.03750511634137769,2.409649220638313
0.00136,-0.03456267191183765,2.410768976279338
0.0013625,-0.03272364414337507,2.413381739441731
0.001365,-0.02867778305275754,2.418234013886173
0.0013675,-0.02628704695375627,2.418793891706686
0.00137,-0.02371240807790871,2.418607265766515
0.0013725,-0.02132167197890739,2.424952547732325
0.001375,-0.01911483865675235,2.430178074057109
0.0013775,-0.01801142199567486,2.433164089099843
0.00138,-0.01506897756613488,2.437269859783602
0.0013825,-0.0135977553513648,2.439322745125482
0.001385,-0.01139092202920974,2.443988393629753
0.0013875,-0.009551894260747252,2.447720912433171
0.00139,-0.006793352608053482,2.44977379777505
0.0013925,-0.004402616509052182,2.44977379777505
0.001395,-0.002747491517435902,2.452013309057101
0.0013975,0.001666175126874192,2.449587171834879
0.0014,0.004240814002721726,2.448467416193854
0.0014025,0.006447647324876754,2.449400545894709
0.001405,0.008654480647031787,2.452573186877613
0.0014075,0.009757897308109293,2.454439446279322
0.00141,0.01380375839872685,2.45611907974086
0.0014125,0.01490717505980436,2.456865583501544
0.001415,0.0187691333735757,2.461344606065644
0.0014175,0.02079206391888446,2.46265098764684
0.00142,0.02318280001788573,2.46265098764684
0.0014225,0.02520573056319451,2.461531232005815
0.001425,0.02888378610011958,2.461904483886157
0.0014275,0.03145842497596714,2.463024239527182
0.00143,0.03311354996758342,2.462091109826328
0.0014325,0.03734331383504723,2.462837613587011
0.001435,0.03807892494243224,2.462277735766499
